file name;reason
016i_CV_1_15v_x30.BSE;
016i_CV_2_15v_x30.BSE;
029i_CV_1_15v_x30.BSE;
029i_CV_2_15v_x30.BSE;
417_CC_1_15v_x30_BSE;
417_CC_2_15v_x30_BSE;
466_CC_1_10v_x30_BSE;
466_CC_2_10v_x30_BSE;
466_CC_3_10v_x30_BSE;
467_CC_1_10v_x30_BSE;
467_CC_2_10v_x30_BSE;
469_CV_2_10v_x30_BSE;
470_CV_2_10v_x30_BSE;
471_CV_1_10v_x30_BSE;
471_CV_2_10v_x30_BSE;
472_CC_2_10v_x30_BSE;
473_CC_1_15v_x30_BSE;
473_CC_2_15v_x30_BSE;
475_CC_1_10v_x30_BSE;
475_CC_2_10v_x30_BSE;
476_CV_1_10v_x30_BSE;
476_CV_2_10v_x30_BSE;
476_CV_3_10v_x30_BSE;
482_CV_1_10v_x30_BSE;
482_CV_2_10v_x30_BSE;
483_CV_2_10v_x30_BSE;
485_CV_1_15v_x30_BSE;
485_CV_2_15v_x30_BSE;
485_CV_3_15v_x30_BSE;
487_CC_1_15v_x30_BSE;
487_CC_2_15v_x30_BSE;
489_CC_1_15v_x30_BSE;
489_CC_2_15v_x30_BSE;
490_CV_1_15v_x30_BSE;
490_CV_2_15v_x35_BSE;
491_CV_1_15v_x30_BSE;
491_CV_2_15v_x30_BSE;
492_CC_1_15v_x30_BSE;
492_CC_2_15v_x30_BSE;
494_CC_1_15v_x30_BSE;
494_CC_2_15v_x30_BSE;
496_CC_1_15v_x30_BSE;
496_CC_2_15v_x30_BSE;
497_CC_1_15v_x30_BSE;
497_CC_2_15v_x30_BSE;
498_CC_1_15v_x30_BSE;
501_CV_1_15v_x30_BSE;
502_CV_1_15v_x30_BSE;
502_CV_2_15v_x30_BSE;
503_CC_1_15v_x30_BSE;
503_CC_2_15v_x30_BSE;
504_CC_1_15v_x30_BSE;
504_CC_2_15v_x30_BSE;
505_CV_1_15v_x30_BSE;
505_CV_2_15v_x30_BSE;
506_CC_3_15v_x30_BSE;
507_CC_1_15v_x30_BSE;
507_CC_2_15v_x30_BSE;
508_CV_1_15v_x30_BSE;
508_CV_2_15v_x30_BSE;
509_CC_1_15v_x30_BSE;
509_CC_2_15v_x30_BSE;
509_CC_3_15v_x30_BSE;
510_CV_1_15v_x35_BSE;
510_CV_2_15v_x30_BSE;
511_CV_1_15v_x30_BSE;
511_CV_2_15v_x35_BSE;
511_CV_3_15v_x30_BSE;
512_CV_1_15v_x30_BSE;
512_CV_2_15v_x30_BSE;
516_CV_2_15v_x30_BSE;
518_CV_2_15v_x30_BSE;
520_CV_1_15v_x30_BSE;
520_CV_2_15v_x30_BSE;
521_CV_1_15v_x30_BSE;
521_CV_2_15v_x30_BSE;
522_CC_2_15v_x30_BSE;
523_CV_1_15v_x30_BSE;
523_CV_2_15v_x30_BSE;
526_CV_2_15v_x30_BSE;
531_CV_1_15v_x30.BSE;
531_CV_2_15v_x30.BSE;
763_CC_1_15v_x30_BSE;
763_CC_1_15v_x35_BSE;
763_CC_2_15v_x30_BSE;
763_CC_3_15v_x30_BSE;
764_CC_1_15v_x30_BSE;
764_CC_2_15v_x30_BSE;
765_CV_1_15v_x30_BSE;
766_CV_1_15v_x30_BSE;
766_CV_2_15v_x30_BSE;
768_CC_2_15v_x30_BSE;
776_CV_1_15v_x30_BSE;
789_CV_1_15v_x30_BSE;
789_CV_2_15v_x30_BSE;
790_CV_1_15v_x30_BSE;
790_CV_2_15v_x30_BSE;
834_F_2_15v_x30_BSE;
600i_CV_1_10v_x30_BSE;
600i_CV_2_10v_x30_BSE;
600i_CV_3_10v_x30_BSE;
606i_CC_2_10v_x30_BSE;
612i_CV_1_15v_x30_BSE;
612i_CV_2_15v_x30_BSE;
612i_CV_3_15v_x30_BSE;
613i_CC_1_15v_x30_BSE;
613i_CC_2_15v_x30_BSE;
620i_CC_1_15v_x30_BSE(x30);
620i_CC_2_15v_x30_BSE(x30);
622i_CC_2_15v_x30_BSE(x30);
623i_CC_1_15v_x30_BSE(x30);
623i_CC_2_15v_x30_BSE(x30);
627i_CC_1_15v_x30_BSE(x30);
627i_CC_2_15v_x30_BSE(x30);
627i_CC_3_15v_x30_BSE(x30);
628i_CV_2_15v_x30_BSE(x30);
630i_CV_1_15v_x30_BSE(x30);
630i_CV_2_15v_x30_BSE(x30);
631i_CV_1_15v_x30_BSE(x30);
631i_CV_2_15v_x30_BSE(x30);
633i_CV_1_15v_x30_BSE(x30);
633i_CV_2_15v_x30_BSE(x30);
634i_CV_1_15v_x30_BSE(x30);
634i_CV_2_15v_x30_BSE(x30);
635i_CV_2_15v_x30_BSE(x30);
636i_CV_1_15v_x30_BSE(x30);
636i_CV_2_15v_x30_BSE(x30);
637i_CV_1_15v_x30_BSE(x30);
637i_CV_2_15v_x30_BSE(x30);
638_CV_2_15v_x35_BSE;
639_CV_1_15v_x30_BSE;
639_CV_2_15v_x30_BSE;
648i_CV_1_15v_x30_BSE;
648i_CV_2_15v_x30_BSE;
649i_CV_3_15v_x30_BSE;
650_CV_1_15v_x30_BSE(x30);
650_CV_2_15v_x30_BSE(x30);
653i_CV_2_15v_x30_BSE;
654i_CV_1_15v_x30_BSE;
654i_CV_2_15v_x30_BSE;
655i_CV_1_15v_x30_BSE;
657i_CC_1_15v_x30.BSE;
657i_CC_2_15v_x30.BSE;
669_CC_1_10v_x30_BSE;
669_CC_2_10v_x30_BSE;
669_CC_3_10v_x30_BSE;
672_CV_1_10v_x30_BSE;
672_CV_2_10v_x30_BSE;
685_CC_2_10v_x30_BSE;
685_CC_1_10v_x30_BSE;
687_CV_1_10v_x30_BSE;
687_CV_2_10v_x30_BSE;
692_CC_1_10v_x30_BSE;
692_CC_2_10v_x30_BSE;
699_CV_1_10v_x30_BSE;
699_CV_2_10v_x35_BSE;
1017_CV_1_15v_x30.BSE;
1017_CV_2_15v_x30.BSE;
1110_CV_1_15v_x30_BSE;
1110_CV_2_15v_x30_BSE;
1110_CV_3_15v_x30_BSE;
1113_CV_1_15v_x30_BSE;
1113_CV_2_15v_x30_BSE;
1114_CV_2_15v_x30_BSE;
